status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
discarded,Design and Realization of Bus Automatic Reporting Station System,"Zhang, JianBo; Qun, Yin; Ji, Gu",2018,"PROCEEDINGS OF 2018 IEEE 3RD ADVANCED INFORMATION TECHNOLOGY, ELECTRONIC AND AUTOMATION CONTROL CONFERENCE (IAEAC 2018)",,https://www.webofscience.com/wos/woscc/full-record/WOS:000457576900381,adjacent-subtopic,"In this paper, based on the traditional bus stops system, combining with the characteristics of the use of public transport vehicles and the actual operating environment, design a kind of bus stops are automatically controlled by the single chip microcomputer system, this paper introduces the system at the start of the overall design thought, after detailed research and analysis is mainly focused on the two aspects of hardware and software design of the whole system. Hardware, use AT89C51 single chip microcomputer as controller, makes the design of the hardware system simplification, the system hardware design including keyboard circuit and reset circuit, display driver circuit, display circuit, memory expansion circuit module. Application software, KeilVision4. Write the main program, using the modularization and the top-down design concept to achieve the single chip microcomputer control of the various modules, in detail the design of each part of the application. At the end of the paper, the software and hardware debugging of the whole system is briefly introduced and summarized.",wos,llm,0.990,unreviewed,
discarded,Multi-skeleton Model for Top-down Design of Complex Modular Products,"Chu, Dexin; Chu, Xuening; Lv, Guolin; Su, Yuliang; Chen, Dongping",2014,2014 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT (IEEM),,https://www.webofscience.com/wos/woscc/full-record/WOS:000411458400195,off-topic-false-hit,"To fulfill TDD(top-down design) strategy for efficient design of complex modular products supported by current CAD tools, building the unified information transmission mode is critical to solve the inconsistency of longitudinal strong constraints of TDD and horizontal flexibility of configuration modular products. Based on the recursive-execution and structure-evolvement of TDD and modular configuration design process, we put forward to replace constraints by published skeleton through inheritance information refinement and classification. Meanwhile, multi-skeleton model for one assembly is proposed to substitute one skeleton of traditional TDD. These skeletons are centralized by position skeleton in modular combination manner, which not only facilitate product cascading change automatically, also ease to reuse and modify module, and validate product and system. Crawler crane sample is elaborated to illustrate the multi-skeleton model application effects of entire products design process, design change and modular reuse. Finally, the conclusion of the work and future directions are given",wos,llm,0.990,unreviewed,
discarded,Top-down Modularization Using Extensible Skeleton Model,Deng Ping; Zhang Meng; Wu Bao-zhong; Gong Jing-zhong; Li Guo-xi,2012,"APPLIED MECHANICS AND MECHANICAL ENGINEERING II, PTS 1 AND 2",10.4028/www.scientific.net/AMM.138-139.210,https://www.webofscience.com/wos/woscc/full-record/WOS:000307193900035,off-topic-false-hit,"By combining modular design with top-down design, a composite design method is proposed in this paper, namely top-down modularization. This design synthesis is achieved based on extensible skeleton model (XSM). XSM is developed oriented to design reuse by integrating traditional skeleton model with useful knowledge, resources, processes, et al. According to the characteristic of multilevel structure of products, a hierarchy framework of XSM is built. In addition, the top-down modular design process based on XSM is established. A design case of a typical two-axis servo mechanism is studied to illustrate as well as to demonstrate the validity of the method.",wos,llm,0.990,unreviewed,
discarded,Extracting reusable functions by flow graph-based program slicing,"Lanubile, F; Visaggio, G",1997,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,,https://www.webofscience.com/wos/woscc/full-record/WOS:A1997XE11300006,adjacent-subtopic,"An alternative approach to developing reusable components from scratch is to recover them from existing systems. In this paper, we apply program slicing, a program decomposition method, to the problem of extracting reusable functions from ill-structured programs. As with conventional slicing first described by Weiser, a slice is obtained by iteratively solving data flow equations based on a program flow graph. We extend the definition of program slice to a transform slice, one that includes statements which contribute directly or indirectly to transform a set of input variables into a set of output variables. Unlike conventional program slicing, these statements do not include either the statements necessary to get input data or the statements which test the binding conditions of the function. Transform slicing presupposes the knowledge that a function is performed in the code and its partial specification, only in terms of input and output data. Using domain knowledge we discuss how to formulate expectations of the functions implemented in the code. In addition to the input/output parameters of the function, the slicing criterion depends on an initial statement, which is difficult to obtain for large programs. Using the notions of decomposition slice and concept validation we show how to produce a set of candidate functions, which are independent of line numbers but must be evaluated with respect to the expected behavior. Although human interaction is required, the limited size of candidate functions makes this task easier than looking for the last function instruction in the original source code.",wos,llm,0.950,unreviewed,
kept,A THEORY FOR SOFTWARE-DESIGN EXTRACTION,"SIJTSMA, BA; MAGER, JWLJ",1991,LECTURE NOTES IN COMPUTER SCIENCE,,https://www.webofscience.com/wos/woscc/full-record/WOS:A1991KQ17700014,supports-claim,"In this paper we consider the problem of extracting a design for an existing software system. This problem is dearly relevant to understanding and maintaining software systems. The basis of our approach is a formalization of top-down design with information hiding. This formalization allows an accurate and concise formulation of constructing an a posteriori design for a software system using only the source text. The theory predicts that in general there are many possible designs and that these designs can be partially ordered and form a lattice. The lattice has a smallest element and this element is the best top-down design in the sense that it has the most information hiding. We show how this element can be constructed.

A tool has been built on the basis of the theory developed here. It has been applied to many software systems, written in various programming languages. These applications have shown that the theory is successful and can be used for understanding, documenting, maintaining, and restructuring software systems, without requiring from the user a detailed knowledge of the underlying theory.",wos,llm,0.870,unreviewed,
discarded,Design of a top-down computer vision algorithm dedicated to the recognition of cortical sulci. (Conception d&apos;un algorithme de vision par ordinateur « top-down » dédié à la reconnaissance des sillons corticaux).,Léonie Borne,2019,,,https://dblp.org/rec/phd/hal/Borne19,off-topic-false-hit,,dblp,llm,0.990,unreviewed,
discarded,ESL Design in SystemC AMS: Introducing a top-down design methodology for mixed-signal systems: Invited.,Martin Barnasconi; Sumit Adhikari,2017,DAC,10.1145/3061639.3072951,https://dblp.org/rec/conf/dac/BarnasconiA17,off-topic-false-hit,"For the design and verification of a heterogeneous system architecture containing analog, digital, and software functionality, the use of modern languages and advanced Electronic System-Level (ESL) top-down design methodologies becomes fundamental. This paper will present the industrial application of the SystemC analog/mixed-signal (AMS) extensions in combination with SystemC and other C++ libraries, to enable mixed-signal system-level design of a Magneto Resistive Sensor product. It will demonstrate an efficient top-down design and early verification approach by creating an accurate mixed-signal virtual prototype for concept development and architecture exploration, bringing high modelling fidelity and high simulation speed.",dblp,llm,0.990,unreviewed,
discarded,An integrated top-down design process evaluation approach of complex products and systems based on hierarchical design structure matrix.,Jiaqi Huang; Yupeng Li; Xuening Chu; Dexin Chu,2015,Int. J. Comput. Integr. Manuf.,10.1080/0951192X.2014.941939,https://dblp.org/rec/journals/ijcim/HuangLCC15,off-topic-false-hit,"To enable a more optimised process model to effectively support the complex product and system (CoPS) development, the hierarchical design structure matrix (HDSM) is refined from the traditional design structure matrix to exhibit the correlative iterations and structure-evolvement within design activities. When implementing a top-down design process, the required modelling method is engraving with the traits, which are of great consideration through the decomposition of design activities, of hierarchy, coupling and complexity. Explored in this paper is an integrated evaluation approach based on the HDSM with emphasis on its application for supporting the top-down design process of CoPS. After the dependence degree between different levels in the top-down design process is analysed when the HDSM constructed, a concordant method based on triangular fuzzy number converts binary matrix design to the weighted form representing the coupling strength. Purpose served in this approach, including strengthening the internal polymerisation and sorting, can be demonstrated among design activities. The relevant issues having been developed and the coupling analysis implemented, the effectiveness and potential of the proposed approach is highlighted through a real-world case dealing with the development of a large tonnage crawler crane.",dblp,llm,0.990,unreviewed,
discarded,A top-down design process oriented adaptive conceptual layout design environment based on semantic norm model.,Tao Wu; Ke Lin; Jianjie Wu; Xiaobing Pei; Qiang Peng,2012,CSCWD,10.1109/CSCWD.2012.6221912,https://dblp.org/rec/conf/cscwd/WuLWPP12,off-topic-false-hit,,dblp,llm,0.980,unreviewed,
discarded,"Bottom-up, Top-down? Connecting Software Architecture Design with Use.",Monika Büscher; Michael Christensen 0002; Klaus Marius Hansen; Preben Mogensen 0002; Dan Shapiro,2009,Configuring User-Designer Relations,10.1007/978-1-84628-925-5_8,https://dblp.org/rec/series/cscw/BuscherCHMS09,adjacent-subtopic,,dblp,llm,0.720,unreviewed,
discarded,Hierarchical Top-Down Design of Analog Sensor Interfaces: From System-Level Specifications Down to Silicon.,Jan Vandenbussche; Stéphane Donnay; Francky Leyn; Georges G. E. Gielen; Willy M. C. Sansen,1998,DATE,10.1109/DATE.1998.655937,https://dblp.org/rec/conf/date/VandenbusscheDLGS98,off-topic-false-hit,,dblp,llm,0.980,unreviewed,
kept,"The art of digital design - an introduction to top-down design, Second Edition.",Franklin Prosser; David E. Winkel,1987,,,https://dblp.org/rec/books/daglib/0067155,supports-claim,,dblp,llm,0.700,unreviewed,
