status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
kept,Checklists for grading object-oriented CS1 programs,Kate Sanders; Lynda Thomas,2007,ACM SIGCSE Bulletin,10.1145/1269900.1268834,https://openalex.org/W3002005188,supports-claim; class-object-misconceptions; cs1,"In this paper, we begin by considering object-oriented programming concepts and typical novice misconceptions as identified in the literature. We then present the results of a close examination of student programs, in an objects-first CS1 course, in which we find concrete evidence of students learning these concepts while also displaying some of these misconceptions. This leads to the development of two checklists that educators can use when designing or grading student programs.",openalex,llm,0.950,unreviewed,
kept,"Novice Java programmers' conceptions of ""object"" and ""class"", and variation theory",Anna Eckerdal; Michael Thuné,2005,ACM SIGCSE Bulletin,10.1145/1151954.1067473,https://openalex.org/W2998612091,supports-claim; object-class-conceptions; phenomenography; class-vs-template,"Problems with understanding concepts, so called misconceptions, have been investigated and reported in a number of studies regarding object-oriented programming [4], [3]. In a first programming course using an object-oriented language, it is of great importance that students get a good understanding of central concepts like object and class at an early stage of their education. We have, with a phenomenographic research approach, performed a study with first year university students, investigating what an understanding of the concepts object and class includes from a student perspective. By applying variation theory [8] to our results we are able to pin-point what the students need to be able to discern in order to gain a ""rich"" understanding of these concepts.",openalex,llm_reviewed,0.990,confirmed,
discarded,Animation Metaphors for Object-Oriented Concepts,Jorma Sajaniemi; Pauli Byckling; Petri Gerdt,2007,Electronic Notes in Theoretical Computer Science,10.1016/j.entcs.2007.01.037,https://openalex.org/W2118014692,adjacent-subtopic; visualization; metaphors,"Program visualization and animation has traditionally been done at the level of the programming language and its implementation in a computer. However, novices do not know these concepts and visualizations that build upon programming language implementation may easily fail in helping novices to learn programming concepts. Metaphor, on the contrary, involves the presentation of a new idea in terms of a more familiar one and can facilitate active learning. This paper applies a metaphor approach to object-oriented programming by presenting new metaphors for such concepts as class, object, object instantiation, method invocation, parameter passing, object reference, and garbage collection. The use of these metaphors in introductory programming education is also discussed.",openalex,llm,0.880,unreviewed,
discarded,Identifying SQL Misconceptions of Novices: Findings from a Think-Aloud Study,Daphne Miedema; Efthimia Aivaloglou; George Fletcher,2021,,10.1145/3446871.3469759,https://openalex.org/W3193751197,off-topic-false-hit; sql; database,"SQL is the most commonly taught database query language. While previous research has investigated the errors made by novices during SQL query formulation, the underlying causes for these errors have remained unexplored. Understanding the basic misconceptions held by novices which lead to these errors would help improve how we teach query languages to our students. In this paper we aim to identify the misconceptions that might be the causes of documented SQL errors that novices make. To this end, we conducted a qualitative think-aloud study to gather information on the thinking process of university students while solving query formulation problems. With the queries in hand, we analyzed the underlying causes for the errors made by our participants. In this paper we present the identified SQL misconceptions organized into four top-level categories: misconceptions based in previous course knowledge, generalization-based misconceptions, language-based misconceptions, and misconceptions due to an incomplete or incorrect mental model. A deep exploration of misconceptions can uncover gaps in instruction. By drawing attention to these, we aim to improve SQL education.",openalex,llm,1.000,unreviewed,
discarded,The role of metacognitive skills in solving object-oriented programming problems: a case study,Marietjie Havenga,2015,The Journal for Transdisciplinary Research in Southern Africa,10.4102/td.v11i1.36,https://openalex.org/W2189630072,adjacent-subtopic; metacognition; oop-difficulties,"This article reports on the role of metacognitive skills when solving object-oriented programming problems as part of a case study. The research was constructivist-based within an interpretivist approach to explore how four students constructed their own thinking when solving programming problems. A qualitative methodology was employed. Both concept-driven coding and data-driven coding were applied. Two main issues emerged from the findings. Participating students had fragmented knowledge of the object-oriented approach and shortcomings regarding the implementation thereof, and they experienced problems with metacognitive control during all the steps of program development. Based on the findings the use of metacognitive critical control points (MCCPs) is proposed to be used as a mechanism to facilitate students in their programming efforts and to prevent loss of control during program development.",openalex,llm,0.720,unreviewed,
discarded,Ranking of problems and solutions in the teaching and learning of object-oriented programming,Luz E Gutiérrez; Carlos A. Guerrero; Héctor López-Ospina,2022,Education and Information Technologies,10.1007/s10639-022-10929-5,https://openalex.org/W4210919934,adjacent-subtopic; teaching-learning-problems; no-abstract,,openalex,llm,0.580,unreviewed,
discarded,How objective is object-oriented analysis?,Simon McGinnes,1992,Notes on numerical fluid mechanics and multidisciplinary design,10.1007/bfb0035122,https://openalex.org/W2135756105,off-topic-false-hit; oo-analysis; software-engineering,,openalex,llm,0.970,unreviewed,
discarded,When intuition and logic clash: The case of the object-oriented paradigm,Irit Hadar,2012,Science of Computer Programming,10.1016/j.scico.2012.10.006,https://openalex.org/W1967717102,adjacent-subtopic; oop-paradigm; no-abstract; insufficient-information,,openalex,llm_reviewed,0.550,confirmed,
discarded,A Model-Driven Approach on Object-Oriented PLC Programming for Manufacturing Systems with Regard to Usability,Martin Obermeier; Steven Braun; Birgit Vogel‐Heuser,2014,IEEE Transactions on Industrial Informatics,10.1109/tii.2014.2346133,https://openalex.org/W1999051224,off-topic-false-hit; plc; industrial-software,"This paper presents the modular automation for reuse in manufacturing systems (modAT4rMS) approach to support the model-driven engineering (MDE) of object-oriented manufacturing automation software with regard to its usability and software modularity. With usability, we refer to the aspects' effectiveness, efficiency, and user acceptance as defined by ISO 9241-11. The modAT4rMS notations are based on selected features from the unified modeling language (UML) and the systems modeling language (SysML), and iteratively further developed by a series of empirical studies with industrial practitioners, as well as mechatronics trainees. With modAT4rMS, an MDE approach for programmable logic controller (PLC) programming was developed with the goal to facilitate modular object-oriented programming of PLC software by improving the representation of the relationships between the structure and behavior diagram types, and by reducing the level of abstraction in the structure model. modAT4rMS notations for PLC software structure and software behavior modeling are presented and illustrated with a modeling example using a modAT4rMS editor prototype. For the evaluation of the developed notations, the results from a study with 168 participants are presented, showing the benefits of this new approach in comparison with the classic procedural paradigm (IEC 61131-3) and the domain-specific UML profile (plcML) in regard to programming performance and usability aspects. Finally, the advantages and limitations of the approach are discussed, and an outlook for further development is given.",openalex,llm,1.000,unreviewed,
discarded,Exploring the Learnability of Program Synthesizers by Novice Programmers,Dhanya Jayagopal; Justin Lubin; Sarah Chasins,2022,,10.1145/3526113.3545659,https://openalex.org/W4307472488,adjacent-subtopic; program-synthesis; novice-misconceptions-not-oop,"Modern program synthesizers are increasingly delivering on their promise of lightening the burden of programming by automatically generating code, but little research has addressed how we can make such systems learnable to all. In this work, we ask: What aspects of program synthesizers contribute to and detract from their learnability by novice programmers? We conducted a thematic analysis of 22 observations of novice programmers, during which novices worked with existing program synthesizers, then participated in semi-structured interviews. Our findings shed light on how their specific points in the synthesizer design space affect these tools’ learnability by novice programmers, including the type of specification the synthesizer requires, the method of invoking synthesis and receiving feedback, and the size of the specification. We also describe common misconceptions about what constitutes meaningful progress and useful specifications for the synthesizers, as well as participants’ common behaviors and strategies for using these tools. From this analysis, we offer a set of design opportunities to inform the design of future program synthesizers that strive to be learnable by novice programmers. This work serves as a first step toward understanding how we can make program synthesizers more learnable by novices, which opens up the possibility of using program synthesizers in educational settings as well as developer tooling oriented toward novice programmers.",openalex,llm,0.950,unreviewed,
discarded,Internal representation and rule development in object-oriented design,Jinwoo Kim; F. Javier Lerch; Herbert A. Simon,1995,ACM Transactions on Computer-Human Interaction,10.1145/212430.212450,https://openalex.org/W2039265450,adjacent-subtopic; object-oriented-design; cognitive-process,"This article proposes a cognitive framework describing the software development process in object-oriented design (OOD) as building internal representations and developing rules. Rule development (method construction) is performed in two problem spaces: a rule space and an instance space. Rules are generated, refined, and evaluated in the rule space by using three main cognitive operations: Infer, Derive, and Evoke. Cognitive activities in the instance space are called mental simulations and are used in conjunction with the Infer operation in the rule space. In an empirical study with college students, we induced different representations to the same problem by using problem isomorphs. Initially, subjects built a representation based on the problem description. As rule development proceeded, the initial internal representation and designed objects were refined, or changed if necessary, to correspond to knowledge gained during rule development. Differences in rule development processes among groups created final designs that are radically different in terms of their level of abstraction and potential reusability. The article concludes by discussing the implications of these results for object-oriented design.",openalex,llm,0.850,unreviewed,
discarded,Identifying SQL misconceptions of novices,Daphne Miedema; Efthimia Aivaloglou; George Fletcher,2022,ACM Inroads,10.1145/3514214,https://openalex.org/W4212995739,off-topic-false-hit; sql; database,"H ave you ever struggled with writing a SQL query to retrieve data? Students certainly do. In this paper we set out to investigate why this is the case. The first step to making less mistakes, is to find the underlying reasons why these mistakes are made. Through a think-aloud study with 21 students we identified various SQL errors; and from these deduced 14 SQL misconceptions.",openalex,llm,1.000,unreviewed,
discarded,Novice Programmers and the Problem Description Effect,Dennis Bouvier; Ellie Lovellette; John Matta; Bedour Alshaigy; Brett A. Becker; Michelle Craig; Jana Jacková; Robert McCartney; Kate Sanders; Mark Zarb,2016,,10.1145/3024906.3024912,https://openalex.org/W2587751095,adjacent-subtopic; problem-context; general-novice-programming,"It is often debated whether a problem presented in a straightforward minimalist fashion is better, or worse, for learning than the same problem presented with a ""real-life"" or ""concrete"" context. The presentation, contextualization, or ""problem description"" has been well studied over several decades in disciplines such as mathematics education and psychology; however, little has been published in the field of computing education. In psychology it has been found that not only the presence of context, but the type of context can have dramatic results on problem success. In mathematics education it has been demonstrated that there are non-mathematical factors in problem presentation that can affect success in solving the problem and learning. The contextual background of a problem can also impact cognitive load, which should be considered when evaluating the effects of context. Further, it has been found that regarding cognitive load, computer science has unique characteristics compared to other disciplines, with the consequence that results from other disciplines may not apply to computer science, thus requiring investigation within computer science.",openalex,llm,0.950,unreviewed,
discarded,Eye Movements in Code Reading: Relaxing the Linear Order,Teresa Busjahn; Roman Bednarik; Andrew Begel; Martha E. Crosby; James H. Paterson; Carsten Schulte; Bonita Sharif; Sascha Tamm,2015,,10.1109/icpc.2015.36,https://openalex.org/W4214843451,adjacent-subtopic; code-reading; eye-tracking,"Code reading is an important skill in programming. Inspired by the linearity that people exhibit while natural language text reading, we designed local and global gaze-based measures to characterize linearity (left-to-right and top-to-bottom) in reading source code. Unlike natural language text, source code is executable and requires a specific reading approach. To validate these measures, we compared the eye movements of novice and expert programmers who were asked to read and comprehend short snippets of natural language text and Java programs. Our results show that novices read source code less linearly than natural language text. Moreover, experts read code less linearly than novices. These findings indicate that there are specific differences between reading natural language and source code, and suggest that non-linear reading skills increase with expertise. We discuss the implications for practitioners and educators.",openalex,llm,0.970,unreviewed,
discarded,"Knowledge, skills and strategies for successful object-oriented programming: a proposed learning repertoire",Marietjie Havenga; Elsa Mentz; M.R. De Villiers,2008,Unisa Institutional Repository (University of South Africa),,https://openalex.org/W1580653579,adjacent-subtopic; oop-skills; strategies,"Third year Computer Science students were studied in order to determine which knowledge, skills and strategies they used during an object-oriented programming task. Quantitative and qualitative methods were used to analyse their computer programs and associated thinking processes. Successful programmers applied significantly more cognitive, metacognitive and problem-solving knowledge, skills and strategies, also using a greater variety, than the unsuccessful ones. Based on the approaches of the successful programmers, we propose a learning repertoire of integrated knowledge, skills and strategies, which can serve as a framework to support novices learning object-oriented programming (OOP).",openalex,llm,0.800,unreviewed,
discarded,Heuristic Evaluation for Novice Programming Systems,Michael Kölling; Fraser McKay,2016,ACM Transactions on Computing Education,10.1145/2872521,https://openalex.org/W2411485894,adjacent-subtopic; novice-tools; heuristic-evaluation,"The past few years has seen a proliferation of novice programming tools. The availability of a large number of systems has made it difficult for many users to choose among them. Even for education researchers, comparing the relative quality of these tools, or judging their respective suitability for a given context, is hard in many instances. For designers of such systems, assessing the respective quality of competing design decisions can be equally difficult. Heuristic evaluation provides a practical method of assessing the quality of alternatives in these situations and of identifying potential problems with existing systems for a given target group or context. Existing sets of heuristics, however, are not specific to the domain of novice programming and thus do not evaluate all aspects of interest to us in this specialised application domain. In this article, we propose a set of heuristics to be used in heuristic evaluations of novice programming systems. These heuristics have the potential to allow a useful assessment of the quality of a given system with lower cost than full formal user studies and greater precision than the use of existing sets of heuristics. The heuristics are described and discussed in detail. We present an evaluation of the effectiveness of the heuristics that suggests that the new set of heuristics provides additional useful information to designers not obtained with existing heuristics sets.",openalex,llm,0.990,unreviewed,
discarded,"Synthesizing research on programmers' mental models of programs, tasks and concepts-A systematic literature review","Heinonen, Ava; Lehtela, Bettina; Hellas, Arto; Fagerholm, Fabian",2023,INFORMATION AND SOFTWARE TECHNOLOGY,10.1016/j.infsof.2023.107300,https://www.webofscience.com/wos/woscc/full-record/WOS:001052429900001,adjacent-subtopic; systematic-review; mental-models-broad,"Context: Programmers' mental models represent their knowledge and understanding of programs, programming concepts, and programming in general. They guide programmers' work and influence their task performance. Understanding mental models is important for designing work systems and practices that support programmers.Objective: Although the importance of programmers' mental models is widely acknowledged, research on mental models has decreased over the years. The results are scattered and do not take into account recent developments in software engineering. In this article, we analyze the state of research on programmers' mental models and provide an overview of existing research. We connect results on mental models from different strands of research to form a more unified knowledge base on the topic.Method: We conducted a systematic literature review on programmers' mental models. We analyzed literature addressing mental models in different contexts, including mental models of programs, programming tasks, and programming concepts. Using nine search engines, we found 3678 articles (excluding duplicates). Of these, 84 were selected for further analysis. Using the snowballing technique, starting from these 84, we obtained a final result set containing 187 articles.Results: We show that the literature shares a kernel of shared understanding of mental models. By collating and connecting results on mental models from different fields of research, we provide a comprehensive synthesis of results related to programmers' mental models.Conclusion: The research field on programmers' mental models faces many challenges arising from a lack of a shared knowledge base and poorly defined constructs. By creating a unified knowledge base on the topic, this work provides a basis for future work on mental models. We also point to directions for future studies. In particular, we call for studies that examine programmers working with modern practices and tools.",wos,llm,0.870,unreviewed,
kept,Object-Oriented Programming: Diagnosis Understanding by Identifying and Describing Novice Perceptions,"Julie, Henry; Bruno, Dumas; Patrick, Heymans; Tony, Leclercq",2020,2020 IEEE FRONTIERS IN EDUCATION CONFERENCE (FIE 2020),,https://www.webofscience.com/wos/woscc/full-record/WOS:000646660800122,supports-claim; misconceptions; concept-inventory,"This work in progress focuses on oriented-object programming (OOP) education. The purpose of this contribution is to validate a methodology for building a concept inventory (CI) dedicated to OOP. The long-term study presented here concerns the variable programming concept. Teaching programming is a major issue due to the misconceptions of the students, notably in the OOP paradigm. Teachers need to be aware of the existence of these misconceptions, their variety and when they appear in order to quickly and efficiently correct them. A CI can measure students' understanding of a set of concepts at a precise time. To measure the evolution of student's understanding over a semester, the CI has to be administrated several times along a specific timeline. In the context of a 60-hour OOP course, a preliminary qualitative study was conducted during the 2018-2019 academic year. Semi-structured interviews were conducted with 13 students following the OOP course. Each student was interviewed three times over a semester: Before the course, at mid-term over the semester, and after the course. Six students' perceptions of the variable programming concept were identified and used to build the OOP CI. During the 2019-2020 academic-year, the CI was administred to 107 students following the OOP course. Three administrations were organized according to a specific timeline, aiming both to confirm the results of the preliminary study and to quantify the occurrence of the six perceptions in a class of students. Based on the results obtained, the methodology appears to be effective in building a OOP CI.",wos,llm,0.900,unreviewed,
discarded,Teaching Sequence Diagrams To Programming Beginners And The Change Of Algorithmic Conceptions,"Shah, Philipp; Hubwieser, Peter",2017,PROCEEDINGS OF 2017 IEEE GLOBAL ENGINEERING EDUCATION CONFERENCE (EDUCON2017),,https://www.webofscience.com/wos/woscc/full-record/WOS:000405192300049,adjacent-subtopic; sequence-diagrams; algorithmic-conceptions,Computer science students could have different concepts and misconceptions about the order of statements of object-oriented programming code and their effects. This paper shows the positive influence of early teaching UML sequence diagrams to programming beginners to their concepts of programming statements and the order thereof.,wos,llm,0.720,unreviewed,
discarded,Phenomenography as a Tool for Investigating Understanding of Computing Concepts,"Bucks, Gregory; Oakes, William C.",2011,2011 ASEE ANNUAL CONFERENCE & EXPOSITION,,https://www.webofscience.com/wos/woscc/full-record/WOS:000378522703001,adjacent-subtopic; methodology; phenomenography,"Computing has become a foundational subject across the engineering disciplines and offers significant opportunities both in practice and from an educational perspective. Maximizing this potential requires deep understanding of how students learn and apply computing concepts. There has been a great deal of work exploring understanding in computing education, focused primarily on what constitutes knowledge in computing and the processes engaged to utilize this knowledge in solving computing problems. There is also a sizable body of work exploring the misconceptions held by novices in computing education. However, little work has been done exploring the types of conceptions that computing students hold for the fundamental computing concepts apart from identifying misconceptions. Uncovering the different types of conceptions held by students independent of specific computing languages or environments is essential to understanding how students learn computing concepts and ultimately to develop better pedagogical and assessment techniques.

Phenomenography is a research methodology uniquely designed to uncover the different conceptions held by individuals about a given concept because the main tenet of phenomenography is that any phenomenon can be understood or experienced in a limited number of qualitatively different ways. Thus, the goal of phenomenography is to uncover those different ways of understanding. In recent years, phenomenography has begun to be used to explore the way that students experience the act of learning to program, both from a procedural and object-oriented perspective. However, it has not been used to explore the understanding held by individuals of specific concepts in computing. This paper describes how phenomenography was employed to explore the fundamental computing concepts of conditional and repetition structures. In addition, a discussion will be presented on how the results of this study, along with follow-on studies employing this methodology exploring additional fundamental programming concepts, can lay the groundwork for the development of language and computing environment independent assessment instruments. These instruments are needed for valid assessment and comparison of the pedagogical variations inherent in using the variety of programming languages, environments, and paradigms available today.",wos,llm,0.950,unreviewed,
discarded,Automatic construction of a bug library for object-oriented novice Java programmer errors,"Suarez, Merlin; Sison, Raymund",2008,"INTELLIGENT TUTORING SYSTEM, PROCEEDINGS",,https://www.webofscience.com/wos/woscc/full-record/WOS:000258073200023,adjacent-subtopic; bug-library; tutoring,"Machine learning techniques have been applied to the task of student modeling, more so in building tutors for acquiring programming skill. These were developed for various languages (Pascal, Prolog, Lisp, C++) and programming paradigms (procedural and declarative) but never for object-oriented programming in Java. JavaBugs builds a bug library automatically using discrepancies between a student and correct program. While other works analyze code snippets or UML diagrams to infer student knowledge of object-oriented design and programming, JavaBugs examines a complete Java program and identifies the most similar correct program to the student's solution among a collection of correct solutions and builds trees of misconceptions using similarity measures and background knowledge. Experiments show that JavaBugs can detect the most similar correct program 97% of the time, and discover and detect 61.4% of student misconceptions identified by the expert.",wos,llm,0.740,unreviewed,
discarded,Mental Models and Programming Aptitude,"Caspersen, Michael E.; Bennedsen, Jens; Larsen, Kasper Dalgaard",2007,ITICSE 2007: 12TH ANNUAL CONFERENCE ON INNOVATION & TECHNOLOGY IN COMPUTER SCIENCE EDUCATION,,https://www.webofscience.com/wos/woscc/full-record/WOS:000267363900042,adjacent-subtopic; programming-aptitude; mental-models,"Predicting the success of students participating in introductory programming courses has been an active research area for more than 25 years. Until recently, no variables or tests have had ally significant predictive power. However, Dehnadi and Bornat claim to have found a simple test for programming aptitude to cleanly separate programming sheep from non-programming goats. We briefly present their theory and test instrument.

We have repeated their test in our local context in order to verify and perhaps generalise their findings, but we could not show that the test predicts students' success in our introductory programming course.

Based on this failure of the test instrument, we discuss various explanations for our differing results and suggest a research method from which it may be possible to generalise local results in this area. Furthermore, we discuss and criticize Dehnadi and Bornat's programming aptitude test and devise alternative test instruments.",wos,llm,0.970,unreviewed,
kept,Checklists for Grading Object-Oriented CS1 Programs: concepts and misconceptions,"Sanders, Kate; Thomas, Lynda",2007,ITICSE 2007: 12TH ANNUAL CONFERENCE ON INNOVATION & TECHNOLOGY IN COMPUTER SCIENCE EDUCATION,,https://www.webofscience.com/wos/woscc/full-record/WOS:000267363900034,supports-claim; class-object-misconceptions; cs1,"In this paper, we begin by considering object-oriented programming concepts and typical novice misconceptions as identified in the literature. We then present the results of a close examination of student programs in an objects-first CS1 course, in which we find concrete evidence of students learning these concepts while also displaying some of these misconceptions. This leads to the development of two checklists that educators can use when designing or grading student programs.",wos,llm,0.950,unreviewed,
