status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction,paper_id
discarded,"Recovering clear, natural identifiers from obfuscated JS names",Bogdan Vasilescu; Casey Casalnuovo; Prémkumar Dévanbu,2017,,10.1145/3106237.3106289,https://openalex.org/W2740220421,adjacent-subtopic,"Well-chosen variable names are critical to source code readability, reusability, and maintainability. Unfortunately, in deployed JavaScript code (which is ubiquitous on the web) the identifier names are frequently minified and overloaded. This is done both for efficiency and also to protect potentially proprietary intellectual property. In this paper, we describe an approach based on statistical machine translation (SMT) that recovers some of the original names from the JavaScript programs minified by the very popular UglifyJS. This simple tool, Autonym, performs comparably to the best currently available deobfuscator for JavaScript, JSNice, which uses sophisticated static analysis. In fact, Autonym is quite complementary to JSNice, performing well when it does not, and vice versa. We also introduce a new tool, JSNaughty, which blends Autonym and JSNice, and significantly outperforms both at identifier name recovery, while remaining just as easy to use as JSNice. JSNaughty is available online at http://jsnaughty.org.","openalex, dblp, ieee, arxiv",llm,0.980,unreviewed,,doi:10.1145/3106237.3106289
discarded,Empirical studies on the NLP techniques for source code data preprocessing,Xiaobing Sun; Xiangyue Liu; Jiajun Hu; Junwu Zhu,2014,,10.1145/2627508.2627514,https://openalex.org/W1993784968,adjacent-subtopic,"Program comprehension usually focuses on the significance of textual information to capture the programmers’ intent and knowledge in the software, in particular the source code. In the source code, most of the data is unstructured data, such as the natural language text in comments and identifier names. Researchers in software engineering community have developed many techniques for handling such unstructured data, such as natural language processing (NLP) and information retrieval (IR). Before using the IR technique on the unstructured source code, we must preprocess the text identifies and comments since these data is different from that used in our daily life. During this process, several operations, i.e, tokenization, splitting, stemming, etc. are usually used for preprocessing the unstructured source code. These preprocessing operations will affect the quality of the data used in the IR process. But how these preprocessing operations affect the results of IR is still an open problem. To the best of our knowledge, there are still no studies focusin on this problem. This paper attempts to fill this gap, and conducts some empirical studies to show what are the differences before and after these preprocessing operations. The results show some interesting phenomena based on using or not using these preprocessing operations.","openalex, dblp, ieee, arxiv",llm,0.970,unreviewed,,doi:10.1145/2627508.2627514
discarded,"Contextualizing rename decisions using refactorings, commit messages, and data types",Anthony Peruma; Mohamed Wiem Mkaouer; Michael J. Decker; Christian D. Newman,2020,Journal of Systems and Software,10.1016/j.jss.2020.110704,https://openalex.org/W3037434571,adjacent-subtopic,,"openalex, dblp, ieee, arxiv",llm,0.720,unreviewed,,doi:10.1016/j.jss.2020.110704
discarded,Big Code != Big Vocabulary: Open-Vocabulary Models for Source Code,Rafael-Michael Karampatsis; Hlib Babii; Romain Robbes; Charles Sutton; Andrea Janes,2020,arXiv (Cornell University),10.48550/arxiv.2003.07914,https://openalex.org/W3105398568,adjacent-subtopic,"Statistical language modeling techniques have successfully been applied to large source code corpora, yielding a variety of new software development tools, such as tools for code suggestion, improving readability, and API migration. A major issue with these techniques is that code introduces new vocabulary at a far higher rate than natural language, as new identifier names proliferate. Both large vocabularies and out-of-vocabulary issues severely affect Neural Language Models (NLMs) of source code, degrading their performance and rendering them unable to scale. In this paper, we address this issue by: 1) studying how various modelling choices impact the resulting vocabulary on a large-scale corpus of 13,362 projects; 2) presenting an open vocabulary source code NLM that can scale to such a corpus, 100 times larger than in previous work; and 3) showing that such models outperform the state of the art on three distinct code corpora (Java, C, Python). To our knowledge, these are the largest NLMs for code that have been reported. All datasets, code, and trained models used in this work are publicly available.","openalex, dblp, ieee, arxiv",llm,0.960,unreviewed,,doi:10.48550/arxiv.2003.07914
discarded,"On the Generation, Structure, and Semantics of Grammar Patterns in Source Code Identifiers",Christian D. Newman; Reem S. Alsuhaibani; Michael J. Decker; Anthony Peruma; Dishant Kaushik; Mohamed Wiem Mkaouer; Emily Hill,2020,RIT Scholar Works (Rochester Institute of Technology),,https://openalex.org/W3101714027,adjacent-subtopic,"Identifier names are the atoms of program comprehension. Weak identifier names decrease developer productivity and degrade the performance of automated approaches that leverage identifier names in source code analysis; threatening many of the advantages which stand to be gained from advances in artificial intelligence and machine learning. Therefore, it is vital to support developers in naming and renaming identifiers. In this paper, we extend our prior work, which studies the primary method through which names evolve: rename refactorings. In our prior work, we contextualize rename changes by examining commit messages and other refactorings. In this extension, we further consider data type changes which co-occur with these renames, with a goal of understanding how data type changes influence the structure and semantics of renames. In the long term, the outcomes of this study will be used to support research into: (1) recommending when a rename should be applied, (2) recommending how to rename an identifier, and (3) developing a model that describes how developers mentally synergize names using domain and project knowledge. We provide insights into how our data can support rename recommendation and analysis in the future, and reflect on the significant challenges, highlighted by our study, for future research in recommending renames.","openalex, dblp, ieee, arxiv",llm,0.950,unreviewed,,hash:3d398cdf2383de71
discarded,On planning an evaluation of the impact of identifier names on the readability and quality of smalltalk programs,Mircea Lungu; Jan Kurš,2013,,10.1109/user.2013.6603079,https://openalex.org/W2041999856,adjacent-subtopic,"One of the long running debates between programmers is whether camelCaseldentifiers are better than underscore_identifiers. This is ultimately a matter of programming language culture and personal taste, and to our best knowledge none of the camps has won the argument yet. It is our intuition that a solution exists which is superior to both the previous ones from the point of view of usability: the solution we name sentence case identifiers allows phrases as nams for program entities such as classes or methods. In this paper we propose a study in which to evaluate the impact of sentence case identifiers in practice.","openalex, dblp, ieee, arxiv",llm,0.830,unreviewed,,doi:10.1109/user.2013.6603079
discarded,Few-shot training LLMs for project-specific code-summarization,Toufique Ahmed; Prémkumar Dévanbu,2022,,10.1145/3551349.3559555,https://openalex.org/W4313547549,off-topic-false-hit,"Very large language models (LLMs), such as GPT-3 and Codex have achieved state-of-the-art performance on several natural-language tasks, and show great promise also for code. A particularly exciting aspect of LLMs is their knack for few-shot and zero-shot learning: they can learn to perform a task with very few examples. Few-shotting has particular synergies in software engineering, where there are a lot of phenomena (identifier names, APIs, terminology, coding patterns) that are known to be highly project-specific. However, project-specific data can be quite limited, especially early in the history of a project; thus the few-shot learning capacity of LLMs might be very relevant. In this paper, we investigate the use few-shot training with the very large GPT (Generative Pre-trained Transformer) Codex model, and find evidence suggesting that one can significantly surpass state-of-the-art models for code-summarization, leveraging project-specific training.","openalex, dblp, ieee, arxiv",llm,0.970,unreviewed,,doi:10.1145/3551349.3559555
discarded,Let's Ask AI About Their Programs: Exploring ChatGPT's Answers To Program Comprehension Questions,Teemu Lehtinen; Charles Koutcheme; Arto Hellas,2024,,10.1145/3639474.3640058,https://openalex.org/W4394991831,off-topic-false-hit,"Recent research has explored the creation of questions from code submitted by students. These Questions about Learners' Code (QLCs) are created through program analysis, exploring execution paths, and then creating code comprehension questions from these paths and the broader code structure. Responding to the questions requires reading and tracing the code, which is known to support students' learning. At the same time, computing education researchers have witnessed the emergence of Large Language Models (LLMs) that have taken the community by storm. Researchers have demonstrated the applicability of these models especially in the introductory programming context, outlining their performance in solving introductory programming problems and their utility in creating new learning resources. In this work, we explore the capability of the state-of-the-art LLMs (GPT-3.5 and GPT-4) in answering QLCs that are generated from code that the LLMs have created. Our results show that although the state-of-the-art LLMs can create programs and trace program execution when prompted, they easily succumb to similar errors that have previously been recorded for novice programmers. These results demonstrate the fallibility of these models and perhaps dampen the expectations fueled by the recent LLM hype. At the same time, we also highlight future research possibilities such as using LLMs to mimic students as their behavior can indeed be similar for some specific tasks.","openalex, dblp, ieee, arxiv",llm,0.960,unreviewed,,doi:10.1145/3639474.3640058
discarded,Redacting sensitive information in software artifacts,Mark Grechanik; Collin McMillan; Tathagata Dasgupta; Denys Poshyvanyk; Malcom Gethers,2014,,10.1145/2597008.2597138,https://openalex.org/W2098192829,adjacent-subtopic,"In the past decade, there have been many well-publicized cases of source code leaking from different well-known companies. These leaks pose a serious problem when the source code contains sensitive information encoded in its identifier names and comments. Unfortunately, redacting the sensitive information requires obfuscating the identifiers, which will quickly interfere with program comprehension. Program comprehension is key for programmers in understanding the source code, so sensitive information is often left unredacted.","openalex, dblp, ieee, arxiv",llm,0.880,unreviewed,,doi:10.1145/2597008.2597138
discarded,JSEA: A Program Comprehension Tool Adopting LDA-based Topic Modeling,Tianxia Wang; Yan Liu,2017,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2017.080359,https://openalex.org/W2605175330,off-topic-false-hit,"Understanding a large number of source code is a big challenge for software development teams in software maintenance process. Using topic models is a promising way to automatically discover feature and structure from textual software assets, and thus support developers comprehending programs on software maintenance. To explore the application of applying topic modeling to software engineering practice, we proposed JSEA (Java Software Engineers Assistant), an interactive program comprehension tool adopting LDA-based topic modeling, to support developers during performing software maintenance tasks. JSEA utilizes essential information automatically generated from Java source code to establish a project overview and to bring search capability for software engineers. The results of our preliminary experimentation suggest the practicality of JSEA.","openalex, dblp, ieee, arxiv",llm,0.970,unreviewed,,doi:10.14569/ijacsa.2017.080359
