status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
discarded,A short history of<i>SHELX</i>,George M. Sheldrick,2007,Acta Crystallographica Section A Foundations of Crystallography,10.1107/s0108767307043930,https://openalex.org/W2131350133,off-topic-false-hit,"An account is given of the development of the SHELX system of computer programs from SHELX-76 to the present day. In addition to identifying useful innovations that have come into general use through their implementation in SHELX, a critical analysis is presented of the less-successful features, missed opportunities and desirable improvements for future releases of the software. An attempt is made to understand how a program originally designed for photographic intensity data, punched cards and computers over 10000 times slower than an average modern personal computer has managed to survive for so long. SHELXL is the most widely used program for small-molecule refinement and SHELXS and SHELXD are often employed for structure solution despite the availability of objectively superior programs. SHELXL also finds a niche for the refinement of macromolecules against high-resolution or twinned data; SHELXPRO acts as an interface for macromolecular applications. SHELXC, SHELXD and SHELXE are proving useful for the experimental phasing of macromolecules, especially because they are fast and robust and so are often employed in pipelines for high-throughput phasing. This paper could serve as a general literature citation when one or more of the open-source SHELX programs (and the Bruker AXS version SHELXTL) are employed in the course of a crystal-structure determination.","openalex, dblp, wos, scopus",llm,0.990,unreviewed,
discarded,MEGA3: Integrated software for Molecular Evolutionary Genetics Analysis and sequence alignment,Sudhir Kumar,2004,Briefings in Bioinformatics,10.1093/bib/5.2.150,https://openalex.org/W2146396346,off-topic-false-hit,"With its theoretical basis firmly established in molecular evolutionary and population genetics, the comparative DNA and protein sequence analysis plays a central role in reconstructing the evolutionary histories of species and multigene families, estimating rates of molecular evolution, and inferring the nature and extent of selective forces shaping the evolution of genes and genomes. The scope of these investigations has now expanded greatly owing to the development of high-throughput sequencing techniques and novel statistical and computational methods. These methods require easy-to-use computer programs. One such effort has been to produce Molecular Evolutionary Genetics Analysis (MEGA) software, with its focus on facilitating the exploration and analysis of the DNA and protein sequence variation from an evolutionary perspective. Currently in its third major release, MEGA3 contains facilities for automatic and manual sequence alignment, web-based mining of databases, inference of the phylogenetic trees, estimation of evolutionary distances and testing evolutionary hypotheses. This paper provides an overview of the statistical methods, computational tools, and visual exploration modules for data input and the results obtainable in MEGA.","openalex, dblp, wos, scopus",llm,0.990,unreviewed,
discarded,Software for molecular docking: a review,Nataraj Sekhar Pagadala; Khajamohiddin Syed; Jack A. Tuszyński,2017,Biophysical Reviews,10.1007/s12551-016-0247-1,https://openalex.org/W2578119541,off-topic-false-hit,,"openalex, dblp, wos, scopus",llm,0.990,unreviewed,
discarded,Molecular Docking and Structure-Based Drug Design Strategies,Leonardo L. G. Ferreira; Ricardo Nascimento dos Santos; Glaucius Oliva; Adriano D. Andricopulo,2015,Molecules,10.3390/molecules200713384,https://openalex.org/W1653739410,off-topic-false-hit,"Pharmaceutical research has successfully incorporated a wealth of molecular modeling methods, within a variety of drug discovery programs, to study complex biological and chemical systems. The integration of computational and experimental strategies has been of great value in the identification and development of novel promising compounds. Broadly used in modern drug design, molecular docking methods explore the ligand conformations adopted within the binding sites of macromolecular targets. This approach also estimates the ligand-receptor binding free energy by evaluating critical phenomena involved in the intermolecular recognition process. Today, as a variety of docking algorithms are available, an understanding of the advantages and limitations of each method is of fundamental importance in the development of effective strategies and the generation of relevant results. The purpose of this review is to examine current molecular docking strategies used in drug discovery and medicinal chemistry, exploring the advances in the field and the role played by the integration of structure- and ligand-based methods.","openalex, dblp, wos, scopus",llm,0.990,unreviewed,
kept,Tentative steps toward a development method for interfering programs,Cliff B. Jones,1983,ACM Transactions on Programming Languages and Systems,10.1145/69575.69577,https://openalex.org/W2090551028,supports-claim,"Development methods for (sequential) programs that run in isolation have been studied elsewhere. Programs that run in parallel can interfere with each other, either via shared storage or by sending messages. Extensions to earlier development methods are proposed for the rigorous development of interfering programs. In particular, extensions to the specification method based on postconditions that are predicates of two states and the development methods of operation decomposition and data refinement are proposed.","openalex, dblp, wos, scopus",llm,0.970,unreviewed,
discarded,A survey of software refactoring,Tom Mens; Tom Tourwé,2004,IEEE Transactions on Software Engineering,10.1109/tse.2004.1265817,https://openalex.org/W2171383742,adjacent-subtopic,"We provide an extensive overview of existing research in the field of software refactoring. This research is compared and discussed based on a number of different criteria: the refactoring activities that are supported, the specific techniques and formalisms that are used for supporting these activities, the types of software artifacts that are being refactored, the important issues that need to be taken into account when building refactoring tool support, and the effect of refactoring on the software process. A running example is used to explain and illustrate the main concepts.","openalex, dblp, wos, scopus",llm,0.900,unreviewed,
discarded,Delta-Oriented Programming of Software Product Lines,Ina Schaefer; Lorenzo Bettini; Viviana Bono; Ferruccio Damiani; Nico Tanzarella,2010,Lecture notes in computer science,10.1007/978-3-642-15579-6_6,https://openalex.org/W1949851419,adjacent-subtopic,,"openalex, dblp, wos, scopus",llm,0.840,unreviewed,
discarded,The<i>PDB_REDO</i>server for macromolecular structure model optimization,Robbie P. Joosten; Fei Long; Garib N. Murshudov; Anastassis Perrakis,2014,IUCrJ,10.1107/s2052252514009324,https://openalex.org/W2131417105,off-topic-false-hit,"The refinement and validation of a crystallographic structure model is the last step before the coordinates and the associated data are submitted to the Protein Data Bank (PDB). The success of the refinement procedure is typically assessed by validating the models against geometrical criteria and the diffraction data, and is an important step in ensuring the quality of the PDB public archive [Read et al. (2011 ▶), Structure, 19, 1395-1412]. The PDB_REDO procedure aims for 'constructive validation', aspiring to consistent and optimal refinement parameterization and pro-active model rebuilding, not only correcting errors but striving for optimal interpretation of the electron density. A web server for PDB_REDO has been implemented, allowing thorough, consistent and fully automated optimization of the refinement procedure in REFMAC and partial model rebuilding. The goal of the web server is to help practicing crystallo-graphers to improve their model prior to submission to the PDB. For this, additional steps were implemented in the PDB_REDO pipeline, both in the refinement procedure, e.g. testing of resolution limits and k-fold cross-validation for small test sets, and as new validation criteria, e.g. the density-fit metrics implemented in EDSTATS and ligand validation as implemented in YASARA. Innovative ways to present the refinement and validation results to the user are also described, which together with auto-generated Coot scripts can guide users to subsequent model inspection and improvement. It is demonstrated that using the server can lead to substantial improvement of structure models before they are submitted to the PDB.","openalex, dblp, wos, scopus",llm,0.990,unreviewed,
kept,Correctness preserving program refinements: Proof theory and applications,Ralph‐Johan Back,1980,"Centrum Wiskunde & Informatica (CWI), the national research institute for mathematics and computer science in the Netherlands",,https://openalex.org/W1535757506,supports-claim,The excellent typing by Linda,"openalex, dblp, wos, scopus",llm,0.990,unreviewed,
discarded,WinXAS: a Program for X-ray Absorption Spectroscopy Data Analysis under MS-Windows,Thorsten Ressler,1998,Journal of Synchrotron Radiation,10.1107/s0909049597019298,https://openalex.org/W1975878087,off-topic-false-hit,WinXAS is a new X-ray absorption spectroscopy (XAS) data-analysis program. It runs under the operating system MS-Windows 95/NT and offers several unique features. It has a user-friendly graphical environment and is capable of reading a variety of data formats. It contains a number of useful numerical algorithms beyond those used in conventional XAS analysis and offers a simple interface to the ab-initio theoretical code FEFF. The availability of fast macros in WinXAS makes it particularly useful for on-line data examination at synchrotron radiation facilities during XAS experiments as well as for the analysis of multiple-scan data such as those from time-resolved experiments.,"openalex, dblp, wos, scopus",llm,0.990,unreviewed,
