status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
discarded,Making Reproducible Research Simple Using RMarkdown and the OSF,"Valdez, Andre Calero",2020,"SOCIAL COMPUTING AND SOCIAL MEDIA. DESIGN, ETHICS, USER BEHAVIOR, AND SOCIAL NETWORK ANALYSIS, SCSM 2020, PT I",10.1007/978-3-030-49570-1_3,https://www.webofscience.com/wos/woscc/full-record/WOS:001297923200003,adjacent-subtopic,"The replication crisis has further eroded the public's trust in science. Many famous studies, even published in renowned journals, fail to produce the same results when replicated by other researchers. While this is the outcome of several problems in research, one aspect has gotten critical attention-reproducibility. The term reproducible research refers to studies that contain all materials necessary to reproduce the scientific results by other researchers. This allows others to identify flaws in calculations and improve scientific rigor. In this paper, we show a workflow for reproducible research using the R language and a set of additional packages and tools that simplify a reproducible research procedure.",wos,llm,0.950,unreviewed,
kept,"A tool for publishing reproducible algorithms & A reproducible, elegant algorithm for sequential experiments","Thimbleby, Harold; Williams, David",2018,SCIENCE OF COMPUTER PROGRAMMING,10.1016/j.scico.2017.12.010,https://www.webofscience.com/wos/woscc/full-record/WOS:000428486100003,supports-claim,"Tools to ease the burden of reproducibility are important so computer science does not fall into the trap of ""cargo cult"" science: particularly publishing discussions of algorithms that look like algorithms but which do not work properly when they are copied from the paper. This paper introduces a tool, called relit, which makes it very easy to write about and publish correct algorithms, yet without restricting the author's style. In fact, relit can be used with any material: mathematics, proofs, algorithms or programs. It can be used in papers, in reports and books and, with analogous advantages, in student work where examiners may wish to automatically check what the student claims to have written is actually correct.

To demonstrate relit, this paper presents a new, elegant algorithm for the design of sequential experiments to efficiently control bias, drift, random error, carry-over and other effects. The algorithm is written in C, in a clear style to simplify porting to other languages.

We developed relit because it was impossible to find simple reproducible code for this problem, and we wanted to do better. Thanks to relit, the published algorithm is reproducible and works exactly as published in the present paper. This paper also includes discussion of the problems and opportunities of reproducibility and the essential contributions of relit-style approaches to improving the reliability of computer science publications. (C) 2017 Published by Elsevier B.V.",wos,llm,0.850,unreviewed,
discarded,Challenges in Preserving Intent Comprehensibility in Software,"Vranic, Valentino; Porubaen, Jaroslav; Bystricky, Michal; Frtala, Tomas; Polasek, Ivan; Nosal, Milan; Lang, Jan",2015,ACTA POLYTECHNICA HUNGARICA,,https://www.webofscience.com/wos/woscc/full-record/WOS:000366994500004,adjacent-subtopic,"Software is not only difficult to create, but it is also difficult to understand. Even the authors themselves in a relatively short time become unable to readily interpret their own code and to explain what intent they have followed by it. Software is being created with the goal to satisfy the needs of a customer or directly of the end users. Out of these needs comes the intent, which is relatively well understandable to all stakeholders. By using other specialized modeling techniques (typically the UML language) or in the code itself, use cases and other high-level specification and analytical artifacts in common software development almost completely dissolve. Along with dedicated initiatives to improve preserving intent comprehensibility in software, such as literate programming, intentional programming, aspect-oriented programming, or the DCI (Data, Context and Interaction) approach, this issue is a subject of contemporary research in the re-revealed area of engaging end users in software development, which has its roots in Alan Kay's vision of a personal computer programmable by end users. From the perspective of the reality of complex software system development, the existing approaches are solving the problem of losing intent comprehensibility only partially by a simplified and limited perception of the intent and do this only at the code level. This paper explores the challenges in preserving the intent comprehensibility in software. The thorough treatment of this problem requires a number of techniques and approaches to be engaged, including preserving use cases in the code, dynamic code structuring, executable intent representation using domain specific languages, advanced UML modularization, 3D rendering of UML, and representation and animation of organizational patterns.",wos,llm,0.800,unreviewed,
kept,"Against the Power of Algorithms Closing, Literate Programming, and Source Code Critique","Krajewski, Markus",2019,LAW TEXT CULTURE,,https://www.webofscience.com/wos/woscc/full-record/WOS:000510770300007,qualifies-claim,"Some algorithms know more than we think they would know at certain moments: the notorious examples range from superior, hidden knowledge to explicit oppression. A famous example is one of a large American retail chain that knew of a teenage customer's pregnancy long before her own father because of the goods in her online shopping cart (Mayer-Schonberger et al 2013: 57-58). In the context of socalled predictive policing, authorities pretend to know the next crime scene even before the crime is committed (Fry 2018:144 ff.). And finally, criticism of Google's Page Rank algorithm continues: as Safiya Noble observes in her book Algorithms of Oppression, its design is based on an intricate series of racist assumptions. In the juridical realm, algorithms that technically consist merely of decisions between 0 and 1 on a basal level appear to play an increasing role in legal decision making. Sometimes algorithms themselves become 'defendants', as the following example from rural, sparsely populated Central Finland will show.",wos,llm,0.700,unreviewed,
discarded,Benefits and Pitfalls of Jupyter Notebooks in the Classroom,"Johnson, Jeremiah W.",2020,"PROCEEDINGS OF THE 21ST ANNUAL CONFERENCE ON INFORMATION TECHNOLOGY EDUCATION, SIGITE 2020",10.1145/3368308.3415397,https://www.webofscience.com/wos/woscc/full-record/WOS:001686644000006,adjacent-subtopic,"Jupyter notebooks are widely used in industry and in academic research, but have only begun to make inroads into the classroom. The design of the Jupyter notebook is in many ways well suited for teaching subjects in information technology and computer science, but it is a tool that departs significantly from a standard text editor or integrated development environment, and thus carries with it several unique advantages as well as several surprising potential pitfalls. As use of Jupyter notebooks has grown, so has criticism of the notebook, for varied reasons: notebooks can behave in unexpected ways, they can be difficult to reproduce, they open up potential security issues, and they may encourage poor coding practices. A set of best practices to guide instructors and help addressing these concerns when using Jupyter notebooks in the classroom is currently lacking. This paper addresses the strengths and weaknesses of the Jupyter notebook for education, drawing on existing literature as well as the author's experience teaching a range of courses with Jupyter notebooks for over five years, and recommends a set of best practices for teaching with the Jupyter notebook.",wos,llm,0.920,unreviewed,
discarded,Tools and techniques for computational reproducibility,"Piccolo, Stephen R.; Frampton, Michael B.",2016,GIGASCIENCE,10.1186/s13742-016-0135-4,https://www.webofscience.com/wos/woscc/full-record/WOS:000379685700001,adjacent-subtopic,"When reporting research findings, scientists document the steps they followed so that others can verify and build upon the research. When those steps have been described in sufficient detail that others can retrace the steps and obtain similar results, the research is said to be reproducible. Computers play a vital role in many research disciplines and present both opportunities and challenges for reproducibility. Computers can be programmed to execute analysis tasks, and those programs can be repeated and shared with others. The deterministic nature of most computer programs means that the same analysis tasks, applied to the same data, will often produce the same outputs. However, in practice, computational findings often cannot be reproduced because of complexities in how software is packaged, installed, and executed-and because of limitations associated with how scientists document analysis steps. Many tools and techniques are available to help overcome these challenges; here we describe seven such strategies. With a broad scientific audience in mind, we describe the strengths and limitations of each approach, as well as the circumstances under which each might be applied. No single strategy is sufficient for every scenario; thus we emphasize that it is often useful to combine approaches.",wos,llm,0.960,unreviewed,
kept,Theory and computation in the study of molecular structure,"Quiney, H. M.; Wilson, S.",2006,RECENT ADVANCES IN THE THEORY OF CHEMICAL AND PHYSICAL SYSTEMS,,https://www.webofscience.com/wos/woscc/full-record/WOS:000237615100001,supports-claim,"In this paper, we advocate the use of literate programming techniques in molecular physics and quantum chemistry. With a suitable choice of publication medium, literate programming allows both a theory and corresponding computer code to be placed in the public domain and subject to the usual ""open criticism and constructive use"" which form an essential ingredient of the scientific method.

The use of literate programming methods leads naturally to structure and standardization in computer code. In turn, this structure leads to subroutine libraries and we describe the specification of a basic tensor algebra subroutine library, which we have recently developed, and which we expect to prove useful in a range of applications.

We briefly consider the use of literate programming techniques in enhancing collaborative virtual environments, which facilitate developed cooperation between geographically distributed sites.",wos,llm,0.820,unreviewed,
kept,Theme-based literate programming,"Kacofegitis, A; Churcher, N",2002,APSEC 2002: NINTH ASIA PACIFIC SOFTWARE ENGINEERING CONFERENCE,,https://www.webofscience.com/wos/woscc/full-record/WOS:000180141400056,qualifies-claim,"The source code for computer programs is destined to be read by compilers and consequently its internal structure is heavily constrained. The compiler neither knows nor cares about such things as a program's internal structure, the relationships between its components and their specifications, the way design patterns are instantiated, the best way to explain its algorithms or how it is intended to be used. People do. Literate programming (LP) was invented by Donald Knuth as a way to address such problems. The idea is appealing but LP has not been adopted widely: the lack of good tools, difficulties with object-oriented languages and the limitations of a single psychological order are among the reasons. In this paper we report the development of theme-based literate programming (TBLP). Themes are extremely flexible: they may be aimed at particular reader groups or represent aspects of the program. Features of TBLP include an extended chunk model which accommodates a richer variety of types, an extended connection model which allows chunks to be threaded together :into multiple themes, an enhanced processing model which generalises tangling and weaving and a chunk-level version management system. XML is used to represent the web structure and XML-based technologies such as XSLT are used in processing. This provides flexibility and extensibility, allowing users to define new chunk types. An application which implements TBLP is presented and the integration of TBLP with software engineering processes is discussed.",wos,llm,0.950,unreviewed,
kept,Supporting tailorable program visualisation through literate programming and fisheye views,"Cockburn, A",2001,INFORMATION AND SOFTWARE TECHNOLOGY,,https://www.webofscience.com/wos/woscc/full-record/WOS:000172077300001,qualifies-claim,"This paper describes the 'Jaba' program editor and browser that allows users to tailor the level of abstraction at which they visualise, browse, edit and document object-oriented programs. Its design draws on concepts from literate programming, holophrasting displays, fisheye visualisation and hypertext to allow programmers to rapidly move between abstract and detailed views of Java classes. The paper focuses on the motivation for, and user interface issues surrounding, the integration of these facilities in Jaba. Limitations in the current tools and theories for programming support are identified, and modifications are proposed and demonstrated. Examples include overcoming the static post-hoc documentation support provided by Javadoc, and normalising Fumas's 'degree of interest' fisheye visualisation formula to avoid excessive suppression of program segments. (C) 2001 Elsevier Science B.V. All rights reserved.",wos,llm,0.860,unreviewed,
discarded,Recent progress on variable projection methods for structured low-rank approximation,"Markovsky, Ivan",2014,SIGNAL PROCESSING,10.1016/j.sigpro.2013.09.021,https://www.webofscience.com/wos/woscc/full-record/WOS:000330203500029,off-topic-false-hit,"Rank deficiency of a data matrix is equivalent to the existence of an exact linear model for the data. For the purpose of linear static modeling, the matrix is unstructured and the corresponding modeling problem is an approximation of the matrix by another matrix of a lower rank. In the context of linear time-invariant dynamic models, the appropriate data matrix is Hankel and the corresponding modeling problems becomes structured low-rank approximation. Low-rank approximation has applications in: system identification; signal processing, machine learning, and computer algebra, where different types of structure and constraints occur.

This paper gives an overview of recent progress in efficient local optimization algorithms for solving weighted mosaic-Hankel structured low-rank approximation problems. In addition, the data matrix may have missing elements and elements may be specified as exact. The described algorithms are implemented in a publicly available software package. Their application to system identification, approximate common divisor, and data-driven simulation problems is described in this paper and is illustrated by reproducible simulation examples. As a data modeling paradigm the low-rank approximation setting is closely related to the behavioral approach in systems and control, total least squares, errors-in-variables modeling, principal component analysis, and rank minimization. (C) 2013 Elsevier B.V. All rights reserved.",wos,llm,0.990,unreviewed,
